BookingID,CheckInDate,CheckOutDate,NumberOfNights,NumberOfGuests,RoomType,RoomRate,Revenue,BookingSource,CustomerID,CustomerAge,CustomerGender,CustomerNationality,BookingDate,PaymentMethod,DiscountApplied,TotalRevenue,OccupancyRate,WeekdayOrWeekend,Season,CustomerOccupation,PurposeOfVisit,FeedbackScore,LoyaltyMember,SpecialRequests,RoomView
BID0051,26-01-2024,07-02-2024,12,4,Single,348.0304389,1787.621934,Walk-in,CID0051,34,Male,Germany,09-12-2023,Online Payment,24.1537289,563.1000982,50.39803751,Weekend,Spring,Teacher,Other,10,Yes,Sea View,Mountain View
BID0052,20-02-2024,23-02-2024,3,3,Single,325.8049829,1515.917429,Online,CID0052,46,Other,India,03-11-2024,Cash,13.56111088,372.7957768,71.58636284,Weekend,Summer,Teacher,Leisure,4,No,None,City View
BID0053,25-07-2024,05-08-2024,11,2,Single,182.4960111,1588.252303,Walk-in,CID0053,44,Male,Germany,13-12-2024,Credit Card,46.12802418,857.8772393,91.78894674,Weekday,Winter,Engineer,Business,8,No,Early Check-out,Garden View
BID0054,14-10-2024,26-10-2024,12,4,Suite,173.503501,557.1918568,Walk-in,CID0054,56,Male,Germany,21-04-2023,Online Payment,3.399731852,1105.54472,59.42288192,Weekend,Summer,Teacher,Other,5,Yes,Early Check-out,City View
BID0055,19-09-2024,02-10-2024,13,2,Double,381.6198653,1705.180231,Online,CID0055,74,Female,USA,18-11-2023,Cash,41.4373382,242.2685997,92.92790704,Weekday,Winter,Engineer,Conference,1,Yes,Early Check-out,Garden View
BID0056,12-04-2024,23-04-2024,11,3,Single,415.4465535,771.7038058,Online,CID0056,74,Female,UK,22-07-2023,Debit Card,2.31335544,1903.293067,74.17195352,Weekday,Autumn,Engineer,Business,7,No,Late Check-in,City View
BID0057,22-05-2024,04-06-2024,13,4,Single,484.3749822,646.6416102,Walk-in,CID0057,23,Male,Germany,20-10-2024,Debit Card,16.39051547,145.1789851,90.42469066,Weekday,Spring,Lawyer,Conference,1,No,Sea View,City View
BID0058,26-10-2024,05-11-2024,10,2,Single,225.8686139,686.8363259,Online,CID0058,54,Other,Australia,18-03-2024,Debit Card,44.49821657,1343.314728,72.99997351,Weekend,Winter,Student,Conference,9,Yes,Early Check-out,Sea View
BID0059,04-08-2024,09-08-2024,5,4,Suite,135.6163023,1772.98011,Walk-in,CID0059,57,Male,Australia,12-04-2023,Credit Card,36.38558183,1445.693753,89.36192222,Weekend,Winter,Teacher,Other,6,No,Early Check-out,Mountain View
BID0060,07-08-2024,19-08-2024,12,2,Double,484.1563625,1463.936684,Walk-in,CID0060,39,Male,Germany,02-07-2023,Debit Card,42.26247699,1944.027515,94.14551293,Weekend,Winter,Lawyer,Other,2,No,None,Mountain View
BID0061,20-03-2024,21-03-2024,1,4,Double,438.9070177,236.5210185,Travel Agent,CID0061,39,Other,Germany,01-09-2024,Debit Card,18.64021897,322.3130227,56.04631017,Weekend,Spring,Lawyer,Business,1,Yes,None,Garden View
BID0062,24-08-2024,26-08-2024,2,4,Double,400.8736436,1755.169866,Walk-in,CID0062,19,Other,USA,28-02-2023,Debit Card,31.98819887,321.8893833,53.0150397,Weekend,Winter,Student,Conference,6,No,Sea View,Mountain View
BID0063,26-02-2024,09-03-2024,12,3,Suite,119.6947336,712.3533343,Online,CID0063,21,Other,Australia,03-04-2024,Cash,12.87728822,147.0158945,50.44034561,Weekend,Spring,Student,Conference,2,No,Early Check-out,Sea View
BID0064,12-12-2024,16-12-2024,4,2,Suite,481.246076,1563.256027,Travel Agent,CID0064,77,Male,Germany,07-02-2023,Cash,20.76672321,825.4484842,85.27672644,Weekend,Summer,Teacher,Conference,7,No,Extra Bed,Garden View
BID0065,14-08-2024,17-08-2024,3,3,Suite,196.9469868,859.3197228,Travel Agent,CID0065,39,Female,USA,04-08-2023,Online Payment,36.4019646,1406.429869,71.29444643,Weekend,Autumn,Student,Other,7,No,Extra Bed,City View
BID0066,08-10-2024,09-10-2024,1,4,Suite,386.2478178,1885.038604,Travel Agent,CID0066,19,Other,USA,20-03-2024,Debit Card,8.221663848,1352.278415,91.74837398,Weekday,Autumn,Student,Conference,7,Yes,Extra Bed,Sea View
BID0067,26-12-2024,31-12-2024,5,2,Double,383.8473205,1003.998838,Walk-in,CID0067,56,Other,Australia,07-01-2024,Cash,19.17131907,512.4956893,86.1217477,Weekday,Autumn,Student,Conference,5,Yes,None,City View
BID0068,19-10-2024,22-10-2024,3,3,Double,415.1847827,921.8165328,Walk-in,CID0068,33,Other,UK,25-02-2024,Debit Card,37.45912508,1534.040025,78.22843041,Weekday,Autumn,Teacher,Business,8,Yes,Sea View,Mountain View
BID0069,23-04-2024,28-04-2024,5,2,Suite,250.5685476,535.8242791,Walk-in,CID0069,50,Female,USA,18-09-2024,Online Payment,26.83639595,1766.05189,77.56499903,Weekday,Winter,Student,Leisure,4,No,Extra Bed,Garden View
BID0070,26-08-2024,09-09-2024,14,1,Suite,446.3906358,639.907795,Online,CID0070,46,Male,Australia,07-09-2024,Online Payment,8.884902855,603.8342608,68.78229471,Weekend,Winter,Teacher,Other,4,Yes,Early Check-out,Garden View
BID0071,26-03-2024,08-04-2024,13,1,Suite,135.8503578,1593.330716,Travel Agent,CID0071,59,Other,India,14-11-2023,Credit Card,44.54382267,1367.442214,54.03536068,Weekday,Summer,Engineer,Other,10,No,Early Check-out,Garden View
BID0072,24-05-2024,03-06-2024,10,4,Suite,210.7531622,359.2145013,Travel Agent,CID0072,55,Other,Australia,01-04-2023,Debit Card,17.9516724,1886.453518,86.67320879,Weekend,Summer,Teacher,Leisure,10,No,Early Check-out,City View
BID0073,21-08-2024,29-08-2024,8,4,Single,489.5623624,938.5862852,Travel Agent,CID0073,35,Other,India,21-04-2023,Debit Card,2.929953844,1815.653651,75.21011729,Weekend,Autumn,Teacher,Conference,1,No,Sea View,Mountain View
BID0074,16-07-2024,17-07-2024,1,3,Double,216.4612884,1421.88915,Travel Agent,CID0074,49,Other,USA,05-10-2023,Online Payment,31.37689795,161.281388,50.90414897,Weekday,Summer,Teacher,Other,6,Yes,None,Mountain View
BID0075,03-04-2024,12-04-2024,9,4,Double,416.3305363,292.2527197,Walk-in,CID0075,54,Male,UK,24-01-2024,Debit Card,46.13956162,1835.562124,71.58131792,Weekday,Winter,Doctor,Conference,2,No,Sea View,Sea View
BID0076,08-11-2024,17-11-2024,9,3,Double,376.0993108,581.533721,Online,CID0076,46,Female,Germany,09-12-2023,Credit Card,46.05853868,1579.224653,71.83699312,Weekend,Summer,Doctor,Leisure,3,No,Late Check-in,Garden View
BID0077,30-08-2024,08-09-2024,9,2,Suite,79.82475828,1472.779842,Travel Agent,CID0077,60,Male,Australia,14-11-2024,Online Payment,1.298073331,460.0872633,69.13403466,Weekend,Autumn,Doctor,Other,3,No,None,Mountain View
BID0078,15-09-2024,17-09-2024,2,1,Suite,250.9801906,1948.351175,Online,CID0078,58,Male,USA,02-03-2023,Debit Card,21.42283221,1352.394288,62.35255289,Weekend,Autumn,Lawyer,Business,8,Yes,Sea View,Sea View
BID0079,26-10-2024,02-11-2024,7,4,Single,140.7194855,1025.404286,Walk-in,CID0079,64,Other,India,31-05-2024,Credit Card,15.14090725,521.1083319,71.18444528,Weekend,Summer,Doctor,Leisure,2,No,Early Check-out,Garden View
BID0080,09-04-2024,20-04-2024,11,4,Single,310.1393567,1053.460297,Online,CID0080,61,Other,Germany,10-03-2024,Debit Card,10.90624892,919.4705043,74.7360933,Weekend,Winter,Teacher,Conference,8,No,Late Check-in,Garden View
BID0081,01-07-2024,02-07-2024,1,3,Suite,119.6028152,693.3177956,Travel Agent,CID0081,64,Male,Australia,19-06-2024,Online Payment,22.46466209,701.3100138,89.48211787,Weekday,Autumn,Teacher,Business,2,No,Sea View,Mountain View
BID0082,07-09-2024,15-09-2024,8,3,Single,332.3874732,556.9265475,Online,CID0082,43,Other,Australia,24-07-2023,Debit Card,49.88524425,611.8511152,94.23736665,Weekday,Winter,Doctor,Other,5,No,Extra Bed,City View
BID0083,31-01-2024,07-02-2024,7,1,Suite,359.3859834,1895.094034,Online,CID0083,68,Female,UK,27-04-2024,Debit Card,36.20751627,1504.750032,55.85795763,Weekday,Autumn,Teacher,Leisure,9,No,Late Check-in,Mountain View
BID0084,25-05-2024,29-05-2024,4,3,Double,214.1613078,1311.605611,Online,CID0084,36,Male,Germany,25-05-2024,Online Payment,29.69201232,1434.316961,94.38911327,Weekday,Winter,Lawyer,Business,4,Yes,Sea View,Garden View
BID0085,05-09-2024,13-09-2024,8,4,Suite,320.0573969,371.7147178,Travel Agent,CID0085,72,Female,India,14-12-2024,Cash,12.20870701,672.1755992,98.1676933,Weekday,Winter,Doctor,Leisure,8,Yes,Extra Bed,City View
BID0086,08-04-2024,17-04-2024,9,4,Suite,442.6871418,1467.940795,Travel Agent,CID0086,44,Female,Australia,17-07-2023,Cash,16.8424148,1657.995883,75.34393674,Weekend,Spring,Teacher,Other,7,No,None,City View
BID0087,28-09-2024,12-10-2024,14,4,Suite,93.24025662,1490.967001,Online,CID0087,69,Male,UK,12-06-2023,Cash,35.95323321,284.3623462,83.95646986,Weekend,Summer,Engineer,Conference,1,No,None,Sea View
BID0088,18-07-2024,23-07-2024,5,1,Single,226.9815785,917.8695221,Travel Agent,CID0088,73,Male,India,25-12-2023,Debit Card,19.64574421,120.4515934,56.90226196,Weekday,Autumn,Engineer,Business,2,No,None,Mountain View
BID0089,03-08-2024,07-08-2024,4,2,Double,389.809673,662.3791946,Online,CID0089,28,Female,Australia,20-12-2024,Online Payment,16.14278451,1320.633505,91.63822486,Weekend,Spring,Student,Leisure,8,Yes,Late Check-in,Garden View
BID0090,07-02-2024,21-02-2024,14,1,Suite,107.2498503,1985.59909,Walk-in,CID0090,73,Female,Australia,23-01-2024,Debit Card,28.73732047,623.7871852,80.60035915,Weekday,Spring,Lawyer,Conference,8,No,Late Check-in,Mountain View
BID0091,21-04-2024,26-04-2024,5,3,Double,324.2048767,1625.744982,Travel Agent,CID0091,51,Female,Germany,15-12-2024,Cash,7.58171622,997.405961,94.91581725,Weekday,Spring,Teacher,Other,3,Yes,None,City View
BID0092,07-02-2024,12-02-2024,5,3,Single,476.2634439,742.8323566,Online,CID0092,52,Male,Australia,18-08-2023,Debit Card,16.28975798,360.2198537,55.61921429,Weekday,Summer,Student,Business,7,No,Early Check-out,Garden View
BID0093,30-08-2024,03-09-2024,4,2,Single,464.9358151,1374.090662,Travel Agent,CID0093,31,Female,India,01-01-2024,Debit Card,4.440262037,1863.083571,85.59355367,Weekend,Spring,Engineer,Conference,5,No,Extra Bed,Mountain View
BID0094,23-07-2024,24-07-2024,1,2,Suite,336.4433507,555.402028,Online,CID0094,80,Other,USA,11-02-2023,Online Payment,14.09063246,1398.022918,88.39833303,Weekend,Summer,Lawyer,Conference,7,Yes,Extra Bed,Mountain View
BID0095,19-08-2024,21-08-2024,2,1,Single,78.67837479,956.3631921,Walk-in,CID0095,72,Female,India,27-01-2024,Cash,18.71293212,1615.715344,88.43777603,Weekday,Summer,Engineer,Conference,4,No,None,City View
BID0096,06-02-2024,19-02-2024,13,3,Double,477.940294,578.1456077,Online,CID0096,47,Male,Australia,02-09-2024,Credit Card,38.85885604,606.1675802,80.67589786,Weekday,Winter,Engineer,Business,1,Yes,Late Check-in,Garden View
BID0097,03-09-2024,10-09-2024,7,1,Double,121.0760238,1031.632809,Online,CID0097,47,Other,Germany,21-02-2024,Credit Card,28.17456638,278.4187146,69.27381129,Weekend,Summer,Teacher,Other,2,No,None,Mountain View
BID0098,29-01-2024,05-02-2024,7,1,Double,241.5500471,458.4629032,Travel Agent,CID0098,31,Female,Australia,08-02-2024,Credit Card,18.42818285,971.1897163,92.90483747,Weekend,Autumn,Lawyer,Other,7,Yes,Sea View,Sea View
BID0099,12-01-2024,20-01-2024,8,4,Single,386.8800995,1729.52386,Online,CID0099,40,Male,India,03-01-2024,Online Payment,44.20738902,1544.998864,90.45063055,Weekday,Spring,Student,Conference,9,No,Late Check-in,Mountain View
BID0100,24-10-2024,28-10-2024,4,4,Single,239.997995,103.3933229,Travel Agent,CID0100,60,Other,Australia,28-05-2023,Online Payment,24.98327628,1040.803049,88.46465341,Weekday,Winter,Lawyer,Other,9,No,Late Check-in,Mountain View
BID0101,08-04-2024,15-04-2024,7,4,Single,484.5196141,1104.753172,Travel Agent,CID0101,71,Male,USA,07-09-2024,Cash,36.77072142,1199.355672,79.33169261,Weekend,Winter,Doctor,Other,7,No,Extra Bed,Sea View
BID0102,23-05-2024,05-06-2024,13,3,Double,182.1668977,1773.784511,Travel Agent,CID0102,75,Male,India,15-06-2024,Cash,25.22723148,679.7101269,63.6956005,Weekday,Winter,Lawyer,Leisure,10,No,None,Garden View
BID0103,23-06-2024,05-07-2024,12,3,Suite,52.30838236,614.0268201,Travel Agent,CID0103,64,Female,USA,26-12-2024,Credit Card,10.70345063,364.7535297,62.14203741,Weekday,Summer,Engineer,Leisure,8,Yes,Extra Bed,Garden View
BID0104,26-07-2024,01-08-2024,6,1,Single,239.6699471,753.2751179,Travel Agent,CID0104,63,Other,India,12-12-2024,Cash,19.81769314,421.9968697,63.84747494,Weekend,Winter,Engineer,Other,10,Yes,Late Check-in,Sea View
BID0105,09-12-2024,12-12-2024,3,3,Single,134.3017217,416.4936783,Online,CID0105,27,Male,UK,22-01-2023,Debit Card,24.18471667,1401.252798,83.76856592,Weekend,Winter,Teacher,Other,8,Yes,Sea View,Mountain View
BID0106,09-04-2024,14-04-2024,5,1,Single,205.2252793,294.9743439,Travel Agent,CID0106,71,Male,UK,26-11-2023,Online Payment,6.535834352,112.4519018,87.84010107,Weekday,Winter,Lawyer,Conference,5,No,Extra Bed,Sea View
BID0107,25-01-2024,05-02-2024,11,1,Suite,430.7061927,888.3224359,Walk-in,CID0107,44,Other,Germany,14-03-2023,Credit Card,39.59659125,1550.710718,93.88995203,Weekday,Summer,Engineer,Conference,6,Yes,Sea View,Mountain View
BID0108,25-07-2024,01-08-2024,7,2,Suite,280.8204037,577.5064367,Online,CID0108,22,Male,Australia,13-01-2024,Credit Card,36.05724411,662.7443481,67.94976427,Weekend,Summer,Lawyer,Other,2,No,None,Garden View
BID0109,27-02-2024,01-03-2024,3,3,Single,426.1224871,1732.925218,Travel Agent,CID0109,36,Other,Germany,22-08-2023,Credit Card,34.8729343,1820.848068,83.57077945,Weekend,Spring,Student,Business,7,Yes,Sea View,Sea View
BID0110,08-11-2024,13-11-2024,5,2,Suite,230.8846234,1052.264074,Travel Agent,CID0110,40,Male,India,05-07-2023,Debit Card,12.22329859,1636.514039,50.17474017,Weekday,Spring,Teacher,Conference,4,Yes,None,Garden View
BID0111,02-02-2024,15-02-2024,13,4,Suite,342.9723305,1640.640111,Walk-in,CID0111,72,Female,Australia,19-01-2024,Debit Card,37.37575582,1624.910288,64.67371434,Weekend,Summer,Student,Leisure,4,Yes,Sea View,Mountain View
BID0112,09-11-2024,18-11-2024,9,2,Single,275.3853455,238.1169001,Travel Agent,CID0112,65,Male,India,05-12-2023,Credit Card,39.9514901,1320.021916,88.13404191,Weekend,Spring,Lawyer,Leisure,1,No,Sea View,Sea View
BID0113,16-06-2024,22-06-2024,6,1,Suite,72.0280712,1009.267343,Walk-in,CID0113,67,Female,USA,16-12-2023,Credit Card,41.12351962,759.7732826,53.74808389,Weekday,Spring,Teacher,Conference,2,Yes,Sea View,Sea View
